dataset,architecture,condition,run_index,method,seed,maximum_epochs,realized_epochs,optimizer_steps,learning_rate,selection
hapt,tcn,five_copy_range_materialization,1,ordinary_learning,2207,25,20,20,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,2,ordinary_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,3,ordinary_unique_acquisition_scaler,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,4,ordinary_unique_acquisition_scaler,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,5,ordinary_unique_acquisition_scaler,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,6,quotient_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,7,quotient_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,8,quotient_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,9,ordinary_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,10,ordinary_learning,2207,25,21,21,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,11,ordinary_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,12,ordinary_unique_acquisition_scaler,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,13,ordinary_unique_acquisition_scaler,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,14,ordinary_unique_acquisition_scaler,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,15,quotient_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,16,quotient_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,17,quotient_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,18,ordinary_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,19,ordinary_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,20,ordinary_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,21,ordinary_unique_acquisition_scaler,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,22,ordinary_unique_acquisition_scaler,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,23,ordinary_unique_acquisition_scaler,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,24,quotient_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,25,quotient_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,26,quotient_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,27,ordinary_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,28,ordinary_learning,2207,25,20,20,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,29,ordinary_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,30,ordinary_unique_acquisition_scaler,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,31,ordinary_unique_acquisition_scaler,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,32,ordinary_unique_acquisition_scaler,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,33,quotient_learning,1103,25,23,23,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,34,quotient_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,35,quotient_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,36,ordinary_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,37,ordinary_learning,2207,25,19,19,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,38,ordinary_learning,3301,25,10,10,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,39,ordinary_unique_acquisition_scaler,1103,25,10,10,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,40,ordinary_unique_acquisition_scaler,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,41,ordinary_unique_acquisition_scaler,3301,25,10,10,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,42,quotient_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,43,quotient_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,44,quotient_learning,3301,25,16,16,0.01,native_weak_objective
mhealth,tcn,clean,0,ordinary_learning,1103,25,14,14,0.01,native_weak_objective
mhealth,tcn,clean,1,ordinary_learning,2207,25,14,14,0.01,native_weak_objective
mhealth,tcn,clean,2,ordinary_learning,3301,25,15,15,0.01,native_weak_objective
mhealth,tcn,clean,3,ordinary_unique_acquisition_scaler,1103,25,14,14,0.01,native_weak_objective
mhealth,tcn,clean,4,ordinary_unique_acquisition_scaler,2207,25,14,14,0.01,native_weak_objective
mhealth,tcn,clean,5,ordinary_unique_acquisition_scaler,3301,25,15,15,0.01,native_weak_objective
mhealth,tcn,clean,6,quotient_learning,1103,25,14,14,0.01,native_weak_objective
mhealth,tcn,clean,7,quotient_learning,2207,25,14,14,0.01,native_weak_objective
mhealth,tcn,clean,8,quotient_learning,3301,25,15,15,0.01,native_weak_objective
mhealth,tcn,clean,9,ordinary_learning,1103,25,12,12,0.01,native_weak_objective
mhealth,tcn,clean,10,ordinary_learning,2207,25,11,11,0.01,native_weak_objective
mhealth,tcn,clean,11,ordinary_learning,3301,25,12,12,0.01,native_weak_objective
mhealth,tcn,clean,12,ordinary_unique_acquisition_scaler,1103,25,12,12,0.01,native_weak_objective
mhealth,tcn,clean,13,ordinary_unique_acquisition_scaler,2207,25,11,11,0.01,native_weak_objective
mhealth,tcn,clean,14,ordinary_unique_acquisition_scaler,3301,25,12,12,0.01,native_weak_objective
mhealth,tcn,clean,15,quotient_learning,1103,25,12,12,0.01,native_weak_objective
mhealth,tcn,clean,16,quotient_learning,2207,25,11,11,0.01,native_weak_objective
mhealth,tcn,clean,17,quotient_learning,3301,25,12,12,0.01,native_weak_objective
mhealth,tcn,clean,18,ordinary_learning,1103,25,11,11,0.01,native_weak_objective
mhealth,tcn,clean,19,ordinary_learning,2207,25,14,14,0.01,native_weak_objective
mhealth,tcn,clean,20,ordinary_learning,3301,25,17,17,0.01,native_weak_objective
mhealth,tcn,clean,21,ordinary_unique_acquisition_scaler,1103,25,11,11,0.01,native_weak_objective
mhealth,tcn,clean,22,ordinary_unique_acquisition_scaler,2207,25,14,14,0.01,native_weak_objective
mhealth,tcn,clean,23,ordinary_unique_acquisition_scaler,3301,25,17,17,0.01,native_weak_objective
mhealth,tcn,clean,24,quotient_learning,1103,25,11,11,0.01,native_weak_objective
mhealth,tcn,clean,25,quotient_learning,2207,25,14,14,0.01,native_weak_objective
mhealth,tcn,clean,26,quotient_learning,3301,25,17,17,0.01,native_weak_objective
mhealth,tcn,clean,27,ordinary_learning,1103,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,28,ordinary_learning,2207,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,29,ordinary_learning,3301,25,17,17,0.01,native_weak_objective
mhealth,tcn,clean,30,ordinary_unique_acquisition_scaler,1103,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,31,ordinary_unique_acquisition_scaler,2207,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,32,ordinary_unique_acquisition_scaler,3301,25,17,17,0.01,native_weak_objective
mhealth,tcn,clean,33,quotient_learning,1103,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,34,quotient_learning,2207,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,35,quotient_learning,3301,25,17,17,0.01,native_weak_objective
mhealth,tcn,clean,36,ordinary_learning,1103,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,37,ordinary_learning,2207,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,38,ordinary_learning,3301,25,9,9,0.01,native_weak_objective
mhealth,tcn,clean,39,ordinary_unique_acquisition_scaler,1103,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,40,ordinary_unique_acquisition_scaler,2207,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,41,ordinary_unique_acquisition_scaler,3301,25,9,9,0.01,native_weak_objective
mhealth,tcn,clean,42,quotient_learning,1103,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,43,quotient_learning,2207,25,8,8,0.01,native_weak_objective
mhealth,tcn,clean,44,quotient_learning,3301,25,9,9,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,0,ordinary_learning,1103,25,13,13,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,1,ordinary_learning,2207,25,12,12,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,2,ordinary_learning,3301,25,16,16,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,3,ordinary_unique_acquisition_scaler,1103,25,13,13,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,4,ordinary_unique_acquisition_scaler,2207,25,12,12,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,5,ordinary_unique_acquisition_scaler,3301,25,12,12,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,6,quotient_learning,1103,25,14,14,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,7,quotient_learning,2207,25,14,14,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,8,quotient_learning,3301,25,15,15,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,9,ordinary_learning,1103,25,12,12,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,10,ordinary_learning,2207,25,11,11,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,11,ordinary_learning,3301,25,13,13,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,12,ordinary_unique_acquisition_scaler,1103,25,12,12,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,13,ordinary_unique_acquisition_scaler,2207,25,11,11,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,14,ordinary_unique_acquisition_scaler,3301,25,13,13,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,15,quotient_learning,1103,25,12,12,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,16,quotient_learning,2207,25,11,11,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,17,quotient_learning,3301,25,12,12,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,18,ordinary_learning,1103,25,19,19,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,19,ordinary_learning,2207,25,16,16,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,20,ordinary_learning,3301,25,15,15,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,21,ordinary_unique_acquisition_scaler,1103,25,20,20,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,22,ordinary_unique_acquisition_scaler,2207,25,16,16,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,23,ordinary_unique_acquisition_scaler,3301,25,17,17,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,24,quotient_learning,1103,25,11,11,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,25,quotient_learning,2207,25,14,14,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,26,quotient_learning,3301,25,17,17,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,27,ordinary_learning,1103,25,8,8,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,28,ordinary_learning,2207,25,9,9,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,29,ordinary_learning,3301,25,12,12,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,30,ordinary_unique_acquisition_scaler,1103,25,8,8,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,31,ordinary_unique_acquisition_scaler,2207,25,9,9,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,32,ordinary_unique_acquisition_scaler,3301,25,11,11,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,33,quotient_learning,1103,25,8,8,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,34,quotient_learning,2207,25,8,8,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,35,quotient_learning,3301,25,17,17,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,36,ordinary_learning,1103,25,10,10,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,37,ordinary_learning,2207,25,8,8,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,38,ordinary_learning,3301,25,11,11,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,39,ordinary_unique_acquisition_scaler,1103,25,10,10,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,40,ordinary_unique_acquisition_scaler,2207,25,8,8,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,41,ordinary_unique_acquisition_scaler,3301,25,11,11,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,42,quotient_learning,1103,25,8,8,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,43,quotient_learning,2207,25,8,8,0.01,native_weak_objective
mhealth,tcn,five_copy_range_materialization,44,quotient_learning,3301,25,9,9,0.01,native_weak_objective
synthetic,tcn,clean,0,ordinary_learning,1103,25,14,14,0.01,native_weak_objective
synthetic,tcn,clean,1,ordinary_learning,2207,25,16,16,0.01,native_weak_objective
synthetic,tcn,clean,2,ordinary_learning,3301,25,16,16,0.01,native_weak_objective
synthetic,tcn,clean,3,ordinary_unique_acquisition_scaler,1103,25,14,14,0.01,native_weak_objective
synthetic,tcn,clean,4,ordinary_unique_acquisition_scaler,2207,25,16,16,0.01,native_weak_objective
synthetic,tcn,clean,5,ordinary_unique_acquisition_scaler,3301,25,16,16,0.01,native_weak_objective
synthetic,tcn,clean,6,quotient_learning,1103,25,14,14,0.01,native_weak_objective
synthetic,tcn,clean,7,quotient_learning,2207,25,16,16,0.01,native_weak_objective
synthetic,tcn,clean,8,quotient_learning,3301,25,16,16,0.01,native_weak_objective
synthetic,tcn,clean,9,ordinary_learning,1103,25,18,18,0.01,native_weak_objective
synthetic,tcn,clean,10,ordinary_learning,2207,25,11,11,0.01,native_weak_objective
synthetic,tcn,clean,11,ordinary_learning,3301,25,12,12,0.01,native_weak_objective
synthetic,tcn,clean,12,ordinary_unique_acquisition_scaler,1103,25,18,18,0.01,native_weak_objective
synthetic,tcn,clean,13,ordinary_unique_acquisition_scaler,2207,25,11,11,0.01,native_weak_objective
synthetic,tcn,clean,14,ordinary_unique_acquisition_scaler,3301,25,12,12,0.01,native_weak_objective
synthetic,tcn,clean,15,quotient_learning,1103,25,18,18,0.01,native_weak_objective
synthetic,tcn,clean,16,quotient_learning,2207,25,11,11,0.01,native_weak_objective
synthetic,tcn,clean,17,quotient_learning,3301,25,12,12,0.01,native_weak_objective
synthetic,tcn,clean,18,ordinary_learning,1103,25,10,10,0.01,native_weak_objective
synthetic,tcn,clean,19,ordinary_learning,2207,25,20,20,0.01,native_weak_objective
synthetic,tcn,clean,20,ordinary_learning,3301,25,21,21,0.01,native_weak_objective
synthetic,tcn,clean,21,ordinary_unique_acquisition_scaler,1103,25,10,10,0.01,native_weak_objective
synthetic,tcn,clean,22,ordinary_unique_acquisition_scaler,2207,25,20,20,0.01,native_weak_objective
synthetic,tcn,clean,23,ordinary_unique_acquisition_scaler,3301,25,21,21,0.01,native_weak_objective
synthetic,tcn,clean,24,quotient_learning,1103,25,10,10,0.01,native_weak_objective
synthetic,tcn,clean,25,quotient_learning,2207,25,20,20,0.01,native_weak_objective
synthetic,tcn,clean,26,quotient_learning,3301,25,21,21,0.01,native_weak_objective
synthetic,tcn,clean,27,ordinary_learning,1103,25,15,15,0.01,native_weak_objective
synthetic,tcn,clean,28,ordinary_learning,2207,25,15,15,0.01,native_weak_objective
synthetic,tcn,clean,29,ordinary_learning,3301,25,11,11,0.01,native_weak_objective
synthetic,tcn,clean,30,ordinary_unique_acquisition_scaler,1103,25,15,15,0.01,native_weak_objective
synthetic,tcn,clean,31,ordinary_unique_acquisition_scaler,2207,25,15,15,0.01,native_weak_objective
synthetic,tcn,clean,32,ordinary_unique_acquisition_scaler,3301,25,11,11,0.01,native_weak_objective
synthetic,tcn,clean,33,quotient_learning,1103,25,15,15,0.01,native_weak_objective
synthetic,tcn,clean,34,quotient_learning,2207,25,15,15,0.01,native_weak_objective
synthetic,tcn,clean,35,quotient_learning,3301,25,11,11,0.01,native_weak_objective
synthetic,tcn,clean,36,ordinary_learning,1103,25,20,20,0.01,native_weak_objective
synthetic,tcn,clean,37,ordinary_learning,2207,25,12,12,0.01,native_weak_objective
synthetic,tcn,clean,38,ordinary_learning,3301,25,20,20,0.01,native_weak_objective
synthetic,tcn,clean,39,ordinary_unique_acquisition_scaler,1103,25,20,20,0.01,native_weak_objective
synthetic,tcn,clean,40,ordinary_unique_acquisition_scaler,2207,25,12,12,0.01,native_weak_objective
synthetic,tcn,clean,41,ordinary_unique_acquisition_scaler,3301,25,20,20,0.01,native_weak_objective
synthetic,tcn,clean,42,quotient_learning,1103,25,20,20,0.01,native_weak_objective
synthetic,tcn,clean,43,quotient_learning,2207,25,12,12,0.01,native_weak_objective
synthetic,tcn,clean,44,quotient_learning,3301,25,20,20,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,0,ordinary_learning,1103,25,14,14,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,1,ordinary_learning,2207,25,18,18,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,2,ordinary_learning,3301,25,16,16,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,3,ordinary_unique_acquisition_scaler,1103,25,14,14,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,4,ordinary_unique_acquisition_scaler,2207,25,17,17,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,5,ordinary_unique_acquisition_scaler,3301,25,16,16,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,6,quotient_learning,1103,25,14,14,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,7,quotient_learning,2207,25,16,16,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,8,quotient_learning,3301,25,16,16,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,9,ordinary_learning,1103,25,10,10,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,10,ordinary_learning,2207,25,11,11,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,11,ordinary_learning,3301,25,11,11,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,12,ordinary_unique_acquisition_scaler,1103,25,11,11,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,13,ordinary_unique_acquisition_scaler,2207,25,11,11,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,14,ordinary_unique_acquisition_scaler,3301,25,11,11,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,15,quotient_learning,1103,25,18,18,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,16,quotient_learning,2207,25,11,11,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,17,quotient_learning,3301,25,12,12,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,18,ordinary_learning,1103,25,15,15,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,19,ordinary_learning,2207,25,21,21,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,20,ordinary_learning,3301,25,21,21,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,21,ordinary_unique_acquisition_scaler,1103,25,10,10,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,22,ordinary_unique_acquisition_scaler,2207,25,10,10,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,23,ordinary_unique_acquisition_scaler,3301,25,21,21,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,24,quotient_learning,1103,25,10,10,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,25,quotient_learning,2207,25,20,20,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,26,quotient_learning,3301,25,21,21,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,27,ordinary_learning,1103,25,14,14,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,28,ordinary_learning,2207,25,15,15,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,29,ordinary_learning,3301,25,15,15,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,30,ordinary_unique_acquisition_scaler,1103,25,15,15,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,31,ordinary_unique_acquisition_scaler,2207,25,15,15,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,32,ordinary_unique_acquisition_scaler,3301,25,16,16,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,33,quotient_learning,1103,25,15,15,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,34,quotient_learning,2207,25,15,15,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,35,quotient_learning,3301,25,11,11,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,36,ordinary_learning,1103,25,24,24,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,37,ordinary_learning,2207,25,12,12,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,38,ordinary_learning,3301,25,13,13,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,39,ordinary_unique_acquisition_scaler,1103,25,24,24,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,40,ordinary_unique_acquisition_scaler,2207,25,13,13,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,41,ordinary_unique_acquisition_scaler,3301,25,21,21,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,42,quotient_learning,1103,25,20,20,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,43,quotient_learning,2207,25,12,12,0.01,native_weak_objective
synthetic,tcn,five_copy_range_materialization,44,quotient_learning,3301,25,20,20,0.01,native_weak_objective
hapt,bigru,clean,0,ordinary_learning_bigru,1103,25,25,25,0.01,native_weak_objective
hapt,bigru,clean,1,ordinary_learning_bigru,2207,25,25,25,0.01,native_weak_objective
hapt,bigru,clean,2,ordinary_learning_bigru,3301,25,25,25,0.01,native_weak_objective
hapt,bigru,clean,3,quotient_learning_bigru,1103,25,25,25,0.01,native_weak_objective
hapt,bigru,clean,4,quotient_learning_bigru,2207,25,25,25,0.01,native_weak_objective
hapt,bigru,clean,5,quotient_learning_bigru,3301,25,25,25,0.01,native_weak_objective
hapt,bigru,clean,6,ordinary_learning_bigru,1103,25,25,25,0.01,native_weak_objective
hapt,bigru,clean,7,ordinary_learning_bigru,2207,25,25,25,0.01,native_weak_objective
hapt,bigru,clean,8,ordinary_learning_bigru,3301,25,25,25,0.01,native_weak_objective
hapt,bigru,clean,9,quotient_learning_bigru,1103,25,25,25,0.01,native_weak_objective
hapt,bigru,clean,10,quotient_learning_bigru,2207,25,25,25,0.01,native_weak_objective
hapt,bigru,clean,11,quotient_learning_bigru,3301,25,25,25,0.01,native_weak_objective
